epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4941,1.42093,2.18426,1.40899,0.50962,0.66964,0.623,0.37716,1.41314,4.33708,1.6931,0.00035007,0.00035007,0.00035007
2,22.1212,1.2319,1.29703,1.25955,0.03139,0.33036,0.02778,0.0156,1.49715,37.5361,1.60789,0.000702617,0.000702617,0.000702617
3,29.9482,1.21795,1.13759,1.2916,0.75,0.25,0.2494,0.15885,1.63117,6.65552,1.91251,0.00104064,0.00104064,0.00104064
4,37.7812,1.23289,1.08477,1.28064,0.06776,0.24405,0.02443,0.01314,2.20083,90.755,2.88558,0.00136414,0.00136414,0.00136414
5,45.7131,1.13796,1.0214,1.21069,0.00112,0.24405,0.00077,0.00021,nan,nan,nan,0.00153497,0.00153497,0.00153497
6,53.6719,1.13433,0.92863,1.26086,0.01611,0.74702,0.0139,0.00711,1.59571,181.154,1.88619,0.00150197,0.00150197,0.00150197
7,61.54,1.13859,0.89217,1.24247,0.03682,0.6369,0.03155,0.01704,nan,nan,nan,0.00146896,0.00146896,0.00146896
8,69.351,1.08601,0.84332,1.21061,0.4535,0.77083,0.48706,0.36105,1.25296,3.36566,1.52285,0.00143595,0.00143595,0.00143595
9,77.209,1.12384,0.86075,1.25158,0.55583,0.64286,0.70852,0.46514,1.3726,1.50138,1.55214,0.00140295,0.00140295,0.00140295
10,85.309,1.11757,0.79931,1.24232,0.79102,0.86877,0.8251,0.52683,1.36656,0.91273,1.58295,0.00136994,0.00136994,0.00136994
11,93.345,1.06639,0.77944,1.20482,0.75494,0.87479,0.8984,0.63364,1.22619,0.80836,1.46213,0.00133693,0.00133693,0.00133693
12,101.516,1.05195,0.78803,1.18969,0.54975,0.59524,0.38666,0.24941,1.24366,2.09265,1.44104,0.00130393,0.00130393,0.00130393
13,109.459,0.98937,0.74831,1.15177,0.73423,0.85714,0.81945,0.56741,1.23558,0.95475,1.47846,0.00127092,0.00127092,0.00127092
14,117.467,1.01989,0.73239,1.185,0.83479,0.7773,0.80051,0.57915,1.19417,1.13472,1.54801,0.00123791,0.00123791,0.00123791
15,125.696,1.00868,0.70748,1.1514,0.85769,0.75978,0.88613,0.60111,1.19459,0.77103,1.50573,0.00120491,0.00120491,0.00120491
16,133.76,0.96666,0.71534,1.14297,0.83371,0.84379,0.88231,0.61408,1.23213,0.79299,1.48579,0.0011719,0.0011719,0.0011719
17,142.052,0.92966,0.69348,1.10144,0.91982,0.79464,0.88559,0.65193,1.18688,0.81476,1.44972,0.00113889,0.00113889,0.00113889
18,150.627,0.92329,0.66321,1.15332,0.91709,0.85252,0.92426,0.63111,1.23383,0.72902,1.46787,0.00110589,0.00110589,0.00110589
19,158.71,0.92683,0.67254,1.12408,0.87087,0.80809,0.89313,0.64646,1.30852,0.7919,1.61232,0.00107288,0.00107288,0.00107288
20,166.765,0.89161,0.63804,1.11145,0.80599,0.83931,0.88343,0.62305,1.19214,0.73921,1.48024,0.00103987,0.00103987,0.00103987
21,175.008,0.95806,0.63172,1.15959,0.75744,0.80952,0.85668,0.5826,1.25207,0.86068,1.49756,0.00100687,0.00100687,0.00100687
22,183.313,0.88333,0.60566,1.10136,0.89298,0.82868,0.89118,0.63622,1.1469,0.74567,1.41962,0.000973861,0.000973861,0.000973861
23,191.643,0.88584,0.58769,1.11496,0.84638,0.83333,0.88068,0.67274,1.06162,0.71718,1.37802,0.000940855,0.000940855,0.000940855
24,199.959,0.88823,0.60893,1.11327,0.92532,0.88095,0.88731,0.65358,1.13348,0.74671,1.42737,0.000907848,0.000907848,0.000907848
25,208.087,0.84173,0.5802,1.07603,0.88966,0.88649,0.91412,0.68772,1.11716,0.67798,1.3626,0.000874842,0.000874842,0.000874842
26,216.344,0.83494,0.58597,1.08388,0.89168,0.87367,0.94589,0.68634,1.05425,0.59334,1.30143,0.000841835,0.000841835,0.000841835
27,224.767,0.79502,0.53451,1.0471,0.82981,0.94157,0.95957,0.68604,1.18189,0.60981,1.43606,0.000808828,0.000808828,0.000808828
28,233.216,0.8711,0.5804,1.08187,0.92672,0.88095,0.9272,0.68036,1.06751,0.60322,1.36579,0.000775822,0.000775822,0.000775822
29,241.601,0.86896,0.55866,1.08779,0.89576,0.87642,0.89668,0.68,1.05266,0.63836,1.33389,0.000742815,0.000742815,0.000742815
30,249.804,0.78976,0.50634,1.05316,0.92963,0.87403,0.92662,0.67614,1.04727,0.58604,1.35676,0.000709809,0.000709809,0.000709809
31,258.165,0.76422,0.50923,1.05126,0.91696,0.84227,0.91179,0.69144,1.04819,0.64553,1.34055,0.000676802,0.000676802,0.000676802
32,266.539,0.77644,0.50423,1.03718,0.9339,0.85714,0.94449,0.6708,1.13356,0.61657,1.40511,0.000643795,0.000643795,0.000643795
33,274.788,0.79347,0.52382,1.06252,0.8679,0.9223,0.94134,0.69676,1.10012,0.60325,1.3764,0.000610789,0.000610789,0.000610789
34,283.199,0.77733,0.51742,1.04833,0.89691,0.88306,0.91893,0.67482,1.06469,0.65477,1.38317,0.000577782,0.000577782,0.000577782
35,291.39,0.75255,0.49595,1.02928,0.90567,0.86539,0.93774,0.69656,1.06644,0.59804,1.38794,0.000544776,0.000544776,0.000544776
36,299.642,0.73621,0.4667,1.02162,0.85178,0.93898,0.94933,0.67705,1.17563,0.60615,1.44699,0.000511769,0.000511769,0.000511769
37,307.83,0.74016,0.49457,1.03413,0.86743,0.92368,0.92931,0.67494,1.06716,0.5708,1.34163,0.000478762,0.000478762,0.000478762
38,316.047,0.68597,0.46547,0.98886,0.8606,0.92383,0.92979,0.69401,1.11539,0.59366,1.36448,0.000445756,0.000445756,0.000445756
