epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6153,0.74869,3.15059,1.07413,0.46718,0.07262,0.18381,0.15432,0.65382,2.78236,0.7928,0.000329502,0.000329502,0.000329502
2,37.1093,0.77332,2.5096,1.09,0.18549,0.63126,0.21804,0.17268,0.767,2.22027,0.92397,0.000649711,0.000649711,0.000649711
3,52.4754,0.75802,2.22879,1.08134,0.21838,0.59875,0.257,0.20327,0.8131,2.04436,0.97632,0.00095672,0.00095672,0.00095672
4,67.8864,0.76441,2.0947,1.08833,0.22854,0.59791,0.27601,0.21737,0.7855,2.05865,0.99624,0.0009406,0.0009406,0.0009406
5,83.2574,0.73002,2.00712,1.10326,0.24765,0.55624,0.29445,0.22535,0.79776,1.86727,1.03713,0.0009208,0.0009208,0.0009208
6,98.6194,0.73288,1.91056,1.08474,0.31858,0.64645,0.35811,0.30413,0.70432,1.74114,0.92056,0.000901,0.000901,0.000901
7,113.926,0.68392,1.86787,1.04636,0.3137,0.64338,0.37039,0.29807,0.69877,1.65058,0.94709,0.0008812,0.0008812,0.0008812
8,129.297,0.70371,1.80057,1.08144,0.29625,0.59161,0.33507,0.24999,0.76248,1.73345,0.99262,0.0008614,0.0008614,0.0008614
9,144.707,0.66552,1.78244,1.04945,0.29548,0.70427,0.35799,0.27663,0.74617,1.62167,0.92537,0.0008416,0.0008416,0.0008416
10,160.152,0.65694,1.75274,1.04973,0.33304,0.68562,0.40028,0.30414,0.69666,1.5797,0.92436,0.0008218,0.0008218,0.0008218
11,175.535,0.61917,1.68445,1.03676,0.31571,0.7251,0.40572,0.31609,0.64645,1.55343,0.93011,0.000802,0.000802,0.000802
12,190.791,0.62397,1.64537,1.03152,0.31092,0.68748,0.42254,0.33356,0.6896,1.56569,0.93361,0.0007822,0.0007822,0.0007822
13,206.201,0.6043,1.64301,1.02224,0.2724,0.72167,0.3391,0.26017,0.64935,1.686,0.88728,0.0007624,0.0007624,0.0007624
14,221.593,0.594,1.64729,0.9914,0.36264,0.71441,0.45145,0.36835,0.62486,1.51921,0.85926,0.0007426,0.0007426,0.0007426
15,236.961,0.60205,1.60487,1.01641,0.33976,0.66883,0.38073,0.30208,0.65468,1.50163,0.89388,0.0007228,0.0007228,0.0007228
16,252.127,0.61097,1.55526,1.02657,0.42007,0.71356,0.5601,0.46593,0.62172,1.33696,0.86115,0.000703,0.000703,0.000703
17,267.448,0.60593,1.51062,1.01143,0.41593,0.70094,0.50811,0.40992,0.65257,1.37736,0.88454,0.0006832,0.0006832,0.0006832
18,282.888,0.58004,1.48706,0.99628,0.48088,0.63905,0.5755,0.48136,0.6014,1.33283,0.87407,0.0006634,0.0006634,0.0006634
19,298.183,0.56871,1.45221,1.00601,0.42136,0.7034,0.54342,0.44266,0.61992,1.37229,0.85469,0.0006436,0.0006436,0.0006436
20,313.31,0.55124,1.44433,0.99747,0.47761,0.71386,0.59383,0.49153,0.5888,1.26844,0.87484,0.0006238,0.0006238,0.0006238
21,328.515,0.54243,1.369,0.99219,0.50164,0.72464,0.62769,0.5279,0.57691,1.26711,0.88887,0.000604,0.000604,0.000604
22,343.587,0.5308,1.36668,0.9967,0.52292,0.66952,0.5887,0.49023,0.5748,1.28597,0.87003,0.0005842,0.0005842,0.0005842
23,358.908,0.5442,1.34349,1.00522,0.50099,0.77208,0.64118,0.52304,0.57716,1.22071,0.88377,0.0005644,0.0005644,0.0005644
24,374.175,0.52584,1.24174,0.97123,0.51451,0.72026,0.64119,0.54116,0.56579,1.15351,0.87689,0.0005446,0.0005446,0.0005446
25,389.413,0.52954,1.2564,0.96861,0.51433,0.71362,0.64311,0.53444,0.57649,1.20929,0.89619,0.0005248,0.0005248,0.0005248
26,404.765,0.50169,1.24882,0.98295,0.53772,0.74638,0.71948,0.62537,0.53973,1.13804,0.87588,0.000505,0.000505,0.000505
27,420.067,0.48556,1.1932,0.96618,0.46317,0.74868,0.64206,0.53758,0.56417,1.22645,0.8812,0.0004852,0.0004852,0.0004852
28,435.376,0.47634,1.20488,0.96893,0.56019,0.76616,0.68938,0.58878,0.52987,1.09595,0.87272,0.0004654,0.0004654,0.0004654
29,450.632,0.4813,1.13865,0.95093,0.63471,0.73943,0.7361,0.63546,0.52508,1.00398,0.87206,0.0004456,0.0004456,0.0004456
30,466.009,0.47675,1.12833,0.93973,0.58604,0.81012,0.75012,0.64191,0.52246,1.0357,0.86646,0.0004258,0.0004258,0.0004258
31,481.259,0.47205,1.07789,0.96136,0.62143,0.76855,0.76421,0.65705,0.51993,1.01728,0.86735,0.000406,0.000406,0.000406
32,496.535,0.48527,1.07241,0.95882,0.58895,0.79704,0.71262,0.59467,0.53726,1.03908,0.86292,0.0003862,0.0003862,0.0003862
33,511.901,0.46947,1.0743,0.96483,0.59351,0.82015,0.76732,0.66968,0.49748,0.95462,0.85231,0.0003664,0.0003664,0.0003664
34,527.313,0.44257,1.03439,0.94179,0.61564,0.7886,0.78048,0.68438,0.50162,0.96128,0.85792,0.0003466,0.0003466,0.0003466
