epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,542.612,0.42791,0.97171,0.93398,0.65507,0.80265,0.78858,0.6853,0.49385,0.92998,0.83145,0.0003268,0.0003268,0.0003268
36,557.99,0.42659,0.97001,0.92518,0.66224,0.80971,0.79399,0.69155,0.48656,0.92319,0.83699,0.000307,0.000307,0.000307
37,573.364,0.43891,0.95244,0.93446,0.71599,0.79197,0.82899,0.72697,0.46702,0.86131,0.83031,0.0002872,0.0002872,0.0002872
38,588.762,0.40479,0.95744,0.91802,0.76914,0.7895,0.85403,0.75584,0.44996,0.80076,0.82076,0.0002674,0.0002674,0.0002674
39,604.045,0.41874,0.92592,0.92167,0.73018,0.78385,0.81333,0.71381,0.46,0.88431,0.82753,0.0002476,0.0002476,0.0002476
40,619.213,0.40197,0.89888,0.9213,0.71502,0.81233,0.81765,0.71807,0.44823,0.83519,0.8212,0.0002278,0.0002278,0.0002278
41,634.521,0.39624,0.86471,0.92414,0.77619,0.8191,0.86315,0.76678,0.4483,0.80617,0.8367,0.000208,0.000208,0.000208
42,649.98,0.40864,0.89014,0.93249,0.81407,0.81231,0.87811,0.78347,0.44532,0.76939,0.83165,0.0001882,0.0001882,0.0001882
43,665.418,0.38717,0.84953,0.93305,0.71578,0.86188,0.86132,0.76813,0.4331,0.82149,0.81389,0.0001684,0.0001684,0.0001684
44,680.583,0.37698,0.83702,0.91437,0.77087,0.8445,0.86885,0.77544,0.42438,0.7755,0.81424,0.0001486,0.0001486,0.0001486
45,695.92,0.3862,0.81866,0.93286,0.76208,0.84203,0.86881,0.78287,0.41093,0.76517,0.81447,0.0001288,0.0001288,0.0001288
46,711.499,0.37692,0.81557,0.9268,0.8095,0.83057,0.88438,0.80237,0.40197,0.72968,0.80872,0.000109,0.000109,0.000109
47,726.733,0.3585,0.79966,0.9216,0.77483,0.86075,0.87888,0.79026,0.41341,0.7416,0.81125,8.92e-05,8.92e-05,8.92e-05
48,742.005,0.37046,0.75737,0.91316,0.81328,0.8384,0.88489,0.80246,0.40998,0.73391,0.81359,6.94e-05,6.94e-05,6.94e-05
49,757.304,0.35485,0.76599,0.91116,0.81737,0.83125,0.88448,0.79786,0.41339,0.73213,0.81553,4.96e-05,4.96e-05,4.96e-05
50,772.541,0.36015,0.73311,0.91047,0.8181,0.83626,0.89005,0.80252,0.41386,0.72042,0.81338,2.98e-05,2.98e-05,2.98e-05
